"SocialContext","VisualRealm","Parameter","beta","SE","df","CI_L","CI_U"
"Male-Male Display","Luminance  Contrast","(Intercept)",28.5034979558861,0.857351042623358,27.5237236869365,26.7459238320555,30.2610720797166
"","","sc_svl",0.122005912248054,0.0440754208621086,21.3880250353132,0.0304472054702924,0.213564619025815
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Hawaii.Hawaii",8.19417064312937,0.0639319213238567,29.1668794384211,8.06344767090656,8.32489361535219
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Kenya.Hawaii",3.569252680444,1.16549500811199,29.9057166003886,1.1886796087239,5.94982575216411
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Kenya.Kenya",-4.63100495188361,1.15743749815067,29.9057166003885,-6.99512021717338,-2.26688968659385
"","Chromatic Contrast","(Intercept)1",4.0493417461696,0.18253538415621,27.5112374865764,3.67513546413892,4.42354802820028
"","","sc_svl1",0.0207118361179334,0.00867635521061087,21.3872117936029,0.00268823812996795,0.0387354341058989
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Hawaii.Hawaii1",0.753498641806585,0.0274241044325227,29.1668794384208,0.697423986646325,0.809573296966846
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Kenya.Hawaii1",1.22438825375721,0.270771553359195,29.8761071193319,0.671302790813907,1.77747371670051
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Kenya.Kenya1",0.350795879294564,0.28249795318498,29.8761071193318,-0.226242252220604,0.927834010809732
"Courtship Display","Luminance Contrast","(Intercept)2",25.9881987212592,1.23226736357872,21.0807646931696,23.4261561359253,28.550241306593
"","","sc_svl2",0.0767007067518161,0.0704152114704367,19.0714047264647,-0.0706426858967562,0.224044099400388
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Hawaii.Hawaii2",8.16152848401313,0.0606019874884206,21.8730922012397,8.03580536228998,8.28725160573627
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Kenya.Hawaii2",4.00952292761882,1.74186358732091,29.2263316603292,0.448209855654582,7.57083599958307
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Kenya.Kenya2",-3.92058923354785,1.65879536387048,29.2263316603292,-7.31206584289112,-0.529112624204577
"","Chromatic Contrast","(Intercept)3",3.91351747693857,0.204138787188604,21.0430923573327,3.48904055771112,4.33799439616603
"","","sc_svl3",0.019608307045796,0.0143772833894078,19.0695564864838,-0.0104762657167739,0.0496928798083659
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Hawaii.Hawaii3",0.685373123404795,0.0460951873967413,21.8730922012397,0.589745387482127,0.781000859327464
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Kenya.Hawaii3",0.972938169234844,0.328317373890281,29.1178175783046,0.301571741491533,1.64430459697816
"","","relevel(pop_background, ref = ""Hawaii.Kenya"")Kenya.Kenya3",0.201082567446509,0.335934750871581,29.1178175783046,-0.485860407806647,0.888025542699665
